Nombre,Sub18,Sub21,Sub23,Senior,Challenge
My Team,2.652173913043478,2.75,2.75,2.869565217391304,
SFC,1.6,2.0,3.0,5.470588235294118,"['u18', 'u21', 'u23']"
Rzs,2.4347826086956523,3.0,3.1666666666666665,3.4285714285714284,"['u18', 'u21', 'u23']"
r-J,2.391304347826087,2.8461538461538463,2.8461538461538463,2.8461538461538463,"['u18', 'u21', 'u23', 'senior']"
SMA,1.0,4.0,4.0,4.666666666666667,['u18']
Cac,1.125,0,4.5,5.4,"['u18', 'u21']"
GFC,3.7857142857142856,2.0833333333333335,2.9130434782608696,3.6315789473684212,"['u21', 'u23']"
RS,1.7391304347826086,1.75,2.5416666666666665,2.8333333333333335,"['u18', 'u21', 'u23', 'senior']"
VdV,1.0,1.0,1.0,1.0,"['u18', 'u21', 'u23', 'senior']"
I-03,4.434782608695652,3.5714285714285716,3.909090909090909,4.6,[]
JFC,3.0,2.8181818181818183,2.782608695652174,2.782608695652174,"['u18', 'u21', 'u23', 'senior']"
CARP,2.260869565217391,3.0,3.5,4.48,"['u18', 'u21']"
REAL,1.3043478260869565,0,4.681818181818182,4.681818181818182,"['u18', 'u21']"
LENJ,2.6956521739130435,3.230769230769231,3.3333333333333335,4.473684210526316,"['u18', 'u21']"
AAE,1.0909090909090908,0,5.0,4.857142857142857,"['u18', 'u21']"
岁月,3.8260869565217392,0,0,0,"['u21', 'u23', 'senior']"
LFC,0,0,4.0,4.818181818181818,"['u18', 'u21']"
EMD,2.0869565217391304,2.0,2.0,5.3,"['u18', 'u21', 'u23']"
Ulö,2.391304347826087,2.3333333333333335,3.1666666666666665,4.285714285714286,"['u18', 'u21', 'u23']"
PNA,3.9375,2.6666666666666665,3.5,3.7916666666666665,['u21']
PNS,2.608695652173913,2.269230769230769,2.269230769230769,2.269230769230769,"['u18', 'u21', 'u23', 'senior']"
⚽Rae,2.5625,2.3333333333333335,2.5714285714285716,4.714285714285714,"['u18', 'u21', 'u23']"
BKG,3.217391304347826,2.6666666666666665,3.0,5.083333333333333,"['u21', 'u23']"
VeS,3.347826086956522,2.6666666666666665,3.5,3.782608695652174,['u21']
ÇFC,3.0434782608695654,2.611111111111111,2.9130434782608696,4.3023255813953485,"['u18', 'u21', 'u23']"
SDT,1.9130434782608696,3.642857142857143,3.642857142857143,3.642857142857143,['u18']
