Nombre,Sub18,Sub21,Sub23,Senior,Challenge
My Team,2.869565217391304,2.75,2.75,2.869565217391304,
PNA,4.4375,2.8,3.6153846153846154,3.869565217391304,['u21']
PNS,2.652173913043478,2.4444444444444446,2.4444444444444446,2.4444444444444446,"['u18', 'u21', 'u23', 'senior']"
SU™,2.875,3.9583333333333335,3.9583333333333335,3.9583333333333335,['u18']
⚽Rae,2.5625,2.6666666666666665,2.857142857142857,4.809523809523809,"['u18', 'u21', 'u23']"
AU,2.6,2.625,3.107142857142857,3.6923076923076925,"['u18', 'u21', 'u23']"
BKG,3.347826086956522,2.6666666666666665,3.0,5.083333333333333,"['u18', 'u21', 'u23']"
VeS,3.347826086956522,2.75,3.5294117647058822,3.8181818181818183,"['u18', 'u21']"
ÇFC,3.130434782608696,2.6666666666666665,2.9545454545454546,4.357142857142857,"['u18', 'u21', 'u23']"
Spoj,3.0,2.5454545454545454,3.0,3.923076923076923,"['u18', 'u21', 'u23']"
SDT,2.0869565217391304,3.6875,3.6875,3.6875,['u18']
